Rule1,192.168.0.7,192.168.0.0/24,True
Rule2,192.168.0.2,192.168.0.0/24,True
Rule3,192.168.0.3,192.168.0.0/24,True
Rule4,192.168.0.4,192.168.0.0/24,True
Rule4,192.168.42.51,192.168.42.0/24,True
Rule5,192.168.0.5,192.168.0.0/24,True
Rule6,192.168.0.6,192.168.0.0/24,True
Rule7,192.168.0.7,192.168.0.0/24,True
Rule8,192.168.0.8,192.168.0.0/24,True
Rule9,192.168.0.9,192.168.0.0/24,True
Rule13,192.168.1.13,192.168.1.13/32,True
Rule22,192.168.0.5,192.168.0.0/24,True
Rule27,192.168.42.27,192.168.42.0/24,True
Rule29,192.168.0.29,192.168.0.0/24,True
Rule30,192.168.0.30,192.168.0.0/24,True
